"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp590_c0_seq4"	102590,580072713	2,78527480430761	0,365171310138511	7,62731005141435	2,39702612570805e-14	6,69060039483346e-14
"comp836_c0_seq1"	55764,0693718476	-1,10893475219161	0,145998606289725	-7,59551601465976	3,06568314043171e-14	8,46395127901797e-14
"comp1292_c0_seq1"	120600,042253458	1,39297874367104	0,185382788629075	7,51406726574922	5,73181096841294e-14	1,56546235051278e-13
"comp200_c0_seq1"	140317,52407171	-0,918524137879711	0,124708397992717	-7,36537516850594	1,76649359860714e-13	4,77329121325758e-13
"comp3281_c0_seq1"	259242,039898641	5,38896023181965	0,732030114224338	7,36166467349477	1,81630768818926e-13	4,85623318736919e-13
"comp490_c0_seq1"	57557,1096561396	-1,24720968584328	0,170659955750945	-7,30815662265502	2,70832006274659e-13	7,16576349935036e-13
"comp470_c0_seq1"	204468,186146398	1,32869817007828	0,181855287447076	7,30634884875128	2,74498962043766e-13	7,18791096485738e-13
"comp14849_c0_seq1"	24345,3706607884	1,52120892253649	0,212951801580357	7,1434423716883	9,10220928749237e-13	2,35914403981945e-12
"comp8683_c0_seq1"	1550282,65725029	1,89469572744305	0,265614796189511	7,13324616935579	9,80290037228096e-13	2,51508757026198e-12
"comp1196_c0_seq3"	810522,589551443	1,86972885923287	0,267745103827584	6,9832420182626	2,8844487571744e-12	7,32649984322298e-12
"comp2605_c0_seq1"	109101,816152979	1,26653364868875	0,182216050265557	6,95072495997435	3,63413781424207e-12	9,13931687938105e-12
"comp4311_c1_seq1"	16236,2733579251	-1,37137682503898	0,201242142667121	-6,81456084130154	9,45521530717689e-12	2,35453400786562e-11
"comp1691_c0_seq1"	106740,989511111	1,45280850283074	0,218514957224197	6,64855404538812	2,95986298988851e-11	7,29907960613282e-11
"comp422_c0_seq1"	181817,365004392	-1,2348798056313	0,188130739595526	-6,56394488368166	5,24025777033162e-11	1,27983218621561e-10
"comp194_c0_seq2"	112486,596915725	-0,727322278863262	0,111056980283269	-6,54909107926495	5,788832019796e-11	1,40034603145541e-10
"comp5446_c0_seq1"	19306,2977888703	1,18341764510982	0,182120301511859	6,49799959304786	8,1395024745678e-11	1,95040908352851e-10
"comp1752_c0_seq1"	193785,119965188	1,80551102701837	0,278898203199906	6,47372771248811	9,56141391280261e-11	2,26971881668398e-10
"comp13642_c0_seq1"	857,966669890713	-27,4986038513885	4,25988296887293	-6,45524866582522	1,08041349711819e-10	2,54097248396316e-10
"comp1027_c0_seq1"	161363,986606039	1,12517564748709	0,174934030002252	6,43199980857127	1,25935899489436e-10	2,93465307067125e-10
"comp1579_c0_seq1"	147407,371724095	1,30310550603941	0,205687003143878	6,33538087541625	2,36755678949039e-10	5,46690385936871e-10
"comp1724_c0_seq1"	65089,7641032874	-1,83181144770569	0,290027149112064	-6,31599991005632	2,68420203451148e-10	6,14222807897222e-10
"comp1149_c0_seq1"	144521,617196894	1,32561580960035	0,212197454023661	6,24708630789007	4,18180013624191e-10	9,48372530897718e-10
"comp477_c1_seq2"	704172,638264768	2,22614770520142	0,363733799511426	6,12026627217933	9,34191174169301e-10	2,09986334724781e-09
"comp36339_c0_seq1"	444,987027877055	-26,6189023534363	4,43923325869021	-5,99628377295275	2,01884112781474e-09	4,49811970583285e-09
"comp8507_c0_seq6"	818,214603180499	-10,6414386376783	1,77629024674007	-5,9908219713574	2,08783092135035e-09	4,61138307846077e-09
"comp23874_c0_seq1"	626,463260800027	-27,7662824522051	4,71165117973528	-5,89311079980354	3,78992094962433e-09	8,29862001038431e-09
"comp5916_c0_seq1"	16127,3354701263	-1,40076408943623	0,239870291162836	-5,83967311102032	5,23033444596608e-09	1,13547431561999e-08
"comp2503_c0_seq1"	49216,437731635	-1,01496942085464	0,175248730194354	-5,79159358090086	6,97216929971105e-09	1,50078898485306e-08
"comp866_c0_seq4"	51429,9666962553	1,26524360335542	0,218758320581329	5,78375076199688	7,30531552601134e-09	1,55928583496376e-08
"comp2407_c0_seq1"	190258,931722477	1,17571145282917	0,203492392811612	5,77766783605328	7,57431523102812e-09	1,58998022205053e-08
"comp43962_c0_seq1"	607,331238236074	-26,9863066544019	4,66970865437024	-5,77901292174754	7,51401560613757e-09	1,58998022205053e-08
"comp135_c0_seq1"	63232,9512978269	-1,21580597269468	0,21076570342705	-5,76851903761225	7,99711802639594e-09	1,66497375303653e-08
"comp31806_c0_seq1"	429,731522042547	-27,1427401070852	4,71165209490424	-5,76076916554189	8,37314868130701e-09	1,72908923987966e-08
"comp21641_c0_seq1"	374,761472025909	-27,0703793116814	4,71165702387143	-5,74540531590698	9,17010596339904e-09	1,87839267314787e-08
"comp3048_c0_seq2"	97302,5405835045	0,928584924824226	0,16236997892961	5,7189446654223	1,0718769132079e-08	2,17805388763846e-08
