 "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"comp590_c0_seq3"	1023219,85348443	2,72457050836828	0,304825629897087	8,93812803499538	3,95818315927685e-19	1,84443174019911e-18
"comp10521_c0_seq1"	14925,2650449214	1,62889848035812	0,182974424037634	8,90232877586811	5,468699842863e-19	2,52229829487151e-18
"comp15254_c0_seq7"	1266,17344605971	26,5634683471081	2,9850551936439	8,89881982874888	5,64436332196408e-19	2,5519156335799e-18
"comp213_c0_seq1"	79089,837053137	-1,18602228830005	0,133279036745695	-8,89879096712755	5,64583104774314e-19	2,5519156335799e-18
"comp590_c0_seq2"	515257,437878372	3,03131571891339	0,345461126987248	8,77469411782845	1,71369027765919e-18	7,66918817328668e-18
"comp1281_c0_seq1"	31011,6968057272	-2,66078912536018	0,306938027561303	-8,66881548207237	4,36638886588688e-18	1,9349095758636e-17
"comp27180_c0_seq1"	1344,89594309971	-13,429136627296	1,54988145850406	-8,66462177065967	4,53014443375607e-18	1,98798571267742e-17
"comp2385_c0_seq1"	75809,0325350968	2,21568098960231	0,255884373620167	8,65891479911649	4,76276632988284e-18	2,06997152029523e-17
"comp9536_c0_seq1"	824164,269713077	2,72733872158465	0,315845527245795	8,63503987334353	5,87065566914234e-18	2,52717748804985e-17
"comp194_c0_seq1"	25623,6640213017	-2,22501486652314	0,257710005962274	-8,63379308154942	5,93503192193394e-18	2,53078719690013e-17
"comp7562_c0_seq3"	385518,2511856	2,28610422332071	0,266149787579698	8,58953991325708	8,73182695082332e-18	3,6885848427777e-17
"comp310_c0_seq1"	139221,713060538	-1,78109094019011	0,208080613596338	-8,5596198002631	1,13240340934879e-17	4,73931797245976e-17
"comp2605_c0_seq1"	113752,169315063	1,63509246441831	0,195646629822946	8,35737608103964	6,41286108280002e-17	2,65927817378496e-16
"comp20767_c0_seq1"	9149,65804145305	2,96946860563856	0,357938634243118	8,29602708832388	1,07650997725283e-16	4,42347736107525e-16
"comp348_c0_seq1"	114617,094998348	-1,17068380690098	0,143894023108294	-8,1357361592422	4,09442645277098e-16	1,66727996094818e-15
"comp1196_c0_seq3"	856929,305354621	2,2490842085445	0,277267317672937	8,11160950169219	4,99536151374031e-16	2,01598518233091e-15
"comp8683_c0_seq1"	1628613,36517441	2,2749068687544	0,28096686822244	8,09670863738056	5,64660951619959e-16	2,25864380647984e-15
"comp95_c0_seq1"	103285,492059815	-1,29988139538098	0,160846929542627	-8,0814809401537	6,39849294519956e-16	2,53694632564053e-15
"comp1027_c0_seq1"	168354,011303493	1,49649004519679	0,188182489817113	7,95233417652815	1,83029733523197e-15	7,19386430891175e-15
"comp590_c0_seq4"	109882,021185833	3,1577991734095	0,398748637008104	7,91927264530141	2,38903972011843e-15	9,22945259396179e-15
"comp718_c0_seq1"	112241,842898867	-1,03678447410811	0,130905933525653	-7,92007242288167	2,37372279323703e-15	9,22945259396179e-15
"comp439_c0_seq2"	40764,5506929723	-1,46957132918876	0,187019440823566	-7,85785329438107	3,90772597119648e-15	1,49685774489899e-14
"comp1201_c0_seq1"	57907,2170701485	-1,4259962086402	0,183350615815468	-7,77742797480091	7,40138829655706e-15	2,81128362188554e-14
"comp3048_c0_seq2"	101039,496632117	1,29601043415051	0,167075651365305	7,75702757140132	8,69430333079425e-15	3,27485425459917e-14
"comp1579_c0_seq1"	154101,702062789	1,67689534881017	0,217715950297433	7,70221633518022	1,33726236973579e-14	4,99539331504608e-14
"comp448_c0_seq1"	122781,135479998	-1,01632531650648	0,132395850072753	-7,67641369384315	1,63604191243914e-14	6,0614011837909e-14
"comp1014_c0_seq1"	148022,713924367	1,76824161048039	0,231751107705354	7,62991654274429	2,34905732949598e-14	8,63230823522098e-14
"comp1691_c0_seq1"	111929,74819847	1,82633834084106	0,239420258141594	7,62816962531615	2,38110135643091e-14	8,67949849279655e-14
"comp61_c0_seq1"	185993,520085223	-0,932977337905721	0,122985647707798	-7,58606679148759	3,29762484260533e-14	1,19242114308609e-13
"comp1149_c0_seq1"	151308,84899649	1,70216395286449	0,22465713391601	7,57671890134976	3,54403500901307e-14	1,2713522413285e-13
"comp73_c0_seq1"	99928,2831189831	-1,32651102875079	0,175127269337497	-7,574554401316	3,60362365332417e-14	1,28254952071065e-13
"comp824_c0_seq3"	74984,7839050063	-1,26280245268324	0,167245410697644	-7,55059554349272	4,33272412650763e-14	1,52999320717301e-13
"comp1752_c0_seq1"	205849,233099119	2,18277906324135	0,290850439604961	7,50481610482022	6,15148962058867e-14	2,15540566550859e-13
"comp7268_c0_seq1"	21808,9690930942	1,22072196642556	0,163639324650581	7,45983258628186	8,66324847347959e-14	3,01214485385598e-13
"comp611_c0_seq2"	86039,1581557131	-0,856576951873044	0,115492569690074	-7,41672779618358	1,20049319622883e-13	4,14215973049948e-13
"comp521_c0_seq1"	72900,5970637207	-0,980541793406427	0,132513918787337	-7,39953811931285	1,36658990296266e-13	4,67953512226608e-13
"comp215_c0_seq1"	133806,916137841	-1,07984611890112	0,146602820869009	-7,36579359455824	1,76096107808484e-13	5,9846196037169e-13
"comp559_c0_seq1"	80954,6651946038	-0,9001923979259	0,122615291632081	-7,34159977881891	2,11055720236752e-13	7,11919295126956e-13
"comp259_c0_seq2"	114464,017990889	-0,520092311959783	0,0716365679886242	-7,26015115691156	3,8665798911811e-13	1,29458823023249e-12
"comp215_c0_seq3"	29011,8726631323	-1,6547976336254	0,229180161295084	-7,22050994411659	5,17929821835202e-13	1,72135499609935e-12
"comp185_c0_seq1"	152044,140457278	-1,09385284894063	0,151549798455174	-7,21777831505447	5,28437674295682e-13	1,74345860424561e-12
"comp361_c0_seq3"	33796,856896074	-2,12600905234793	0,297489746169318	-7,14649523126053	8,90214806714932e-13	2,91577603358804e-12
"comp296_c0_seq1"	177463,545880627	-1,05831877622438	0,148175264694384	-7,14234442845232	9,17523363773259e-13	2,98360115414038e-12
"comp866_c0_seq4"	53686,2493828468	1,62990326835391	0,229983702658525	7,08703812275758	1,37012649909496e-12	4,42355126850659e-12
"comp2448_c0_seq1"	158372,862524765	1,54715504456574	0,220024206814517	7,03174921962115	2,03960154390042e-12	6,53829714782262e-12
"comp20454_c0_seq1"	7954,52240564697	2,04634346760608	0,294847125443147	6,94035413955784	3,91118221151407e-12	1,24496785887631e-11
"comp126_c0_seq2"	32974,7838491598	-1,13938441100231	0,164488406270253	-6,92683719684363	4,30353349717658e-12	1,36027772078588e-11
"comp15911_c0_seq4"	1551,98064587227	-25,9551051563073	3,74790548621446	-6,92522937191863	4,35269685477154e-12	1,3662631794144e-11
"comp3212_c0_seq1"	126639,202483648	1,54582141561756	0,223895729910281	6,90420230987434	5,0486307688337e-12	1,57378007414678e-11
"comp193_c0_seq3"	202177,181594164	-0,649687778332178	0,0942183652707585	-6,89555349920526	5,36554757320205e-12	1,661114728142e-11
"comp1496_c0_seq1"	54031,1342645837	-0,648647773441005	0,0944127957589827	-6,87033752391863	6,4050176651115e-12	1,96943400314993e-11
"comp381_c0_seq1"	213918,4290278	-1,03951289690294	0,151585817399916	-6,85758677647578	7,00334849077125e-12	2,13886048501933e-11
"comp477_c1_seq2"	751337,143410221	2,60385257464602	0,380409960350714	6,84485908898241	7,65511847915415e-12	2,32222386079039e-11
"comp26163_c0_seq1"	1329,75088707618	-28,4131929698546	4,15551190553714	-6,83747119867338	8,06032865103123e-12	2,42884570017741e-11
"comp4872_c0_seq1"	26365,6618816008	1,2947840477008	0,190618700049479	6,79253424435648	1,10180650431292e-11	3,29812278112211e-11
"comp441_c0_seq1"	111592,906675089	-0,953010688934314	0,143209146531382	-6,6546775259601	2,83921868247985e-11	8,44293976632166e-11
"comp1151_c0_seq1"	69291,6468760488	-1,39165360652355	0,209848208687124	-6,6317154443689	3,31807782794999e-11	9,80242600152547e-11
"comp2232_c0_seq1"	41515,8181608615	-1,35129968815432	0,205596670633764	-6,57257573281151	4,94522199476733e-11	1,45145476729535e-10
"comp477_c1_seq3"	210632,609145833	1,64481088573029	0,250749594121426	6,55957546608744	5,3961179866076e-11	1,57357763222364e-10
"comp126_c0_seq1"	29817,3986027501	-0,944984635907355	0,144198442863361	-6,55336227730834	5,62558159037464e-11	1,6299762043906e-10
"comp421_c0_seq2"	71348,2480952023	-0,866828793120375	0,138348122349377	-6,26556239723538	3,71482209060036e-10	1,06949018149768e-09
"comp377_c0_seq1"	70640,3480385009	-0,902450957558102	0,144506413893322	-6,24505814824461	4,23642481413328e-10	1,21193925062547e-09
"comp253_c0_seq1"	112385,533343752	-0,769825960307262	0,123757405079495	-6,22044361557813	4,95751200425806e-10	1,40930529932367e-09
"comp250_c0_seq1"	67094,8798888741	-0,653150139719436	0,105242584494207	-6,20613930053561	5,43020495673084e-10	1,53403290027646e-09
"comp11079_c1_seq1"	7581,91640295072	2,39037919459959	0,385676541176197	6,19788589502919	5,72266021242688e-10	1,60661019628382e-09
"comp1025_c0_seq1"	98351,8127387105	-0,833662644803123	0,135438352978579	-6,15529225266773	7,49391718957349e-10	2,09089541338717e-09
"comp469_c0_seq2"	54002,8916122871	-0,935753806551972	0,15263581695524	-6,13063057687425	8,75314416888205e-10	2,42725224805809e-09
"comp477_c0_seq1"	63393,7898732478	-1,44326087919365	0,235601582510385	-6,12585392600252	9,01985296978138e-10	2,48595947703731e-09
"comp415_c0_seq1"	184724,204885937	-0,883354622007487	0,145428580359085	-6,07414732253009	1,24648255655695e-09	3,41460676099236e-09
"comp3048_c0_seq1"	5883,24722477005	1,71996883057933	0,28580174473207	6,01804874281557	1,76532042987679e-09	4,80677611026693e-09
"comp10454_c0_seq2"	16214,9669928928	1,03376380049113	0,17347729800714	5,95907252630011	2,53673505672385e-09	6,86589368646216e-09
"comp792_c0_seq1"	99364,7765630991	-0,835446367359459	0,141803985725754	-5,89155772373843	3,82571973158542e-09	1,02930078492655e-08
"comp309_c0_seq1"	803808,976210336	2,8517509259347	0,486456946378042	5,86228842483936	4,56531126081442e-09	1,22101815969711e-08
"comp477_c1_seq1"	251847,896475502	2,07939190133699	0,354777336383219	5,86111819468337	4,59760566550877e-09	1,22242221224115e-08
"comp884_c0_seq1"	44703,4050095958	-0,980759742513453	0,167533268338523	-5,85411931755369	4,79544266423653e-09	1,26756730072217e-08
"comp660_c0_seq4"	31208,6026480019	-1,89429844509533	0,325693550512924	-5,81619882282613	6,02008576493804e-09	1,5820225382279e-08
"comp17172_c0_seq1"	547,838797602116	-27,3945549615951	4,71164376063798	-5,81422457921263	6,09155889633631e-09	1,59155180412949e-08
"comp3432_c0_seq1"	52691,1076704577	1,2455345062467	0,214868655630103	5,79672499273646	6,76224433986054e-09	1,75662898943504e-08
"comp36339_c0_seq1"	404,814125163612	-26,1864968199077	4,52312578755366	-5,78946906406305	7,06092596344559e-09	1,82373630598709e-08
"comp13642_c0_seq1"	775,459823332221	-27,2241587326575	4,71164659412386	-5,77805618244164	7,55685767780051e-09	1,94073844907149e-08
"comp10454_c0_seq1"	15049,7329371918	1,04175913262865	0,180936209029865	5,75760450721444	8,53159510195302e-09	2,17868982264563e-08
"comp221_c0_seq2"	114056,210939435	-1,32221992454658	0,231916136323528	-5,70128472087883	1,18907835809672e-08	3,01945740370628e-08
"comp14573_c0_seq1"	12163,92504942	1,24307512904458	0,21870859317461	5,68370502046141	1,31807542538366e-08	3,32832453784031e-08
"comp21641_c0_seq1"	334,821356361433	-26,7258734560855	4,71165630996742	-5,67228840515117	1,40902502319921e-08	3,53821839158913e-08
"comp23874_c0_seq1"	567,163618420384	-26,691756374153	4,7116507435608	-5,66505410245685	1,4697815410192e-08	3,67039368254518e-08
"comp43962_c0_seq1"	542,492987182666	-26,5205268265275	4,71164783658874	-5,62871584344226	1,81556208595125e-08	4,5089783673075e-08
"comp730_c0_seq1"	63862,7908878675	-1,38063627448383	0,245561731796124	-5,62235925111527	1,88367024906158e-08	4,6525625823816e-08
